,id,listing_url,name,host_id,host_name,host_location,street,neighbourhood,city,state,zipcode,country,latitude,longitude,is_location_exact,room_type,accommodates,beds,bed_type,price,weekly_price,guests_included,minimum_nights,maximum_nights,has_availability,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
1171,1585773,https://www.airbnb.com/rooms/1585773,Penthouse apartment with south-facing balcony,8449226,Marcus,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Østerbro,Copenhagen,Capital region of denmark,2100,Denmark,55.70795,12.58445,f,Entire home/apt,2,1.0,Real Bed,797.0,4000.0,1,3,1125,t,214,21,4,96.0,9.0,9.0,10.0,10.0,9.0,9.0
1173,1588376,https://www.airbnb.com/rooms/1588376,Bo midt i Nørrebros grønne oase,8483631,Sara,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Nørrebro,Copenhagen,Capital region of denmark,2200,Denmark,55.68755,12.54916,f,Entire home/apt,4,2.0,Real Bed,797.0,5000.0,1,4,18,t,146,3,0,87.0,8.0,10.0,10.0,10.0,9.0,9.0
1175,1591065,https://www.airbnb.com/rooms/1591065,Town House close to center of CPH,8488130,Morten,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Østerbro,Copenhagen,Capital region of denmark,2100,Denmark,55.71445,12.575339999999999,t,Entire home/apt,6,5.0,Real Bed,1461.0,9000.0,1,6,1125,t,0,1,0,94.0,8.0,8.0,10.0,10.0,10.0,10.0
1176,1591147,https://www.airbnb.com/rooms/1591147,Private room + breakfast in central Copenhagen,8087551,Kamil,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Vesterbro,Copenhagen,Capital region of denmark,1735,Denmark,55.666030000000006,12.543989999999999,t,Private room,2,2.0,Real Bed,375.0,22390.0,1,1,60,t,10,193,51,97.0,10.0,10.0,10.0,10.0,10.0,10.0
1177,1592516,https://www.airbnb.com/rooms/1592516,2 room apartment with balcony,8494287,Jeppe,"Frederiksberg, Capital Region of Denmark, Denmark","Frederiksberg, Capital Region of Denmark, Denmark",Frederiksberg,Frederiksberg,Capital region of denmark,1817,Denmark,55.672340000000005,12.5444,t,Entire home/apt,3,1.0,Real Bed,697.0,5000.0,3,3,1125,t,0,14,0,84.0,9.0,8.0,9.0,10.0,9.0,8.0
1178,1593097,https://www.airbnb.com/rooms/1593097,"Copenhagen, Frederiksberg",8497454,Pernille,"Copenhagen, Capital Region of Denmark, Denmark","Frederiksberg, Copenhagen, Denmark",Frederiksberg,Frederiksberg,Copenhagen,2000,Denmark,55.68598000000001,12.53668,f,Entire home/apt,2,2.0,Real Bed,670.0,-1.0,2,1,1125,t,314,55,13,97.0,10.0,10.0,10.0,10.0,10.0,10.0
1179,1595985,https://www.airbnb.com/rooms/1595985,"Scandinavian living, Christianshavn",8212749,Louise,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Christianshavn,Copenhagen,Capital region of denmark,1418,Denmark,55.67176,12.59073,t,Entire home/apt,2,1.0,Real Bed,797.0,-1.0,2,3,10,t,0,1,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0
1180,1606435,https://www.airbnb.com/rooms/1606435,central and stylish flat with WIFI,2602709,Fatih,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Indre By,Copenhagen,Capital region of denmark,1400,Denmark,55.67248000000001,12.59173,t,Private room,2,1.0,Real Bed,998.0,7000.0,2,2,1125,t,303,160,31,97.0,10.0,10.0,10.0,10.0,10.0,10.0
1181,1613987,https://www.airbnb.com/rooms/1613987,"Cozy near Zoo, Tivoli, Centrum.",8591687,Nadia,"Frederiksberg, Capital Region of Denmark, Denmark","Frederiksberg, Capital Region of Denmark, Denmark",Vesterbro,Frederiksberg,Capital region of denmark,1804,Denmark,55.66689,12.53547,f,Private room,2,1.0,Real Bed,328.0,7000.0,2,2,1125,t,2,89,25,90.0,9.0,8.0,10.0,10.0,9.0,9.0
1182,1618579,https://www.airbnb.com/rooms/1618579,2 rooms with your own bathroom and little kitchen,8611308,Susanne,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Indre By,Copenhagen,Capital region of denmark,2100,Denmark,55.69149,12.575610000000001,t,Entire home/apt,2,1.0,Real Bed,697.0,-1.0,2,3,1125,t,215,151,25,96.0,10.0,9.0,10.0,10.0,10.0,10.0
1183,1620799,https://www.airbnb.com/rooms/1620799,Fabulous Penthouse near everything!,8621998,Lars,"Copenhagen, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Islands Brygge,Copenhagen,Capital region of denmark,2300,Denmark,55.66047,12.57172,f,Entire home/apt,4,2.0,Real Bed,1173.0,-1.0,1,1,1125,t,88,15,1,96.0,10.0,10.0,10.0,10.0,9.0,9.0
